Index,Time_ms,Operations
141,0,001400,30
142,0,001300,28
143,0,001300,30
144,0,001200,28
145,0,001200,28
146,0,001300,28
147,0,001200,28
148,0,001200,28
149,0,001700,28
150,0,001300,28
151,0,001300,28
152,0,001300,30
153,0,001200,28
154,0,001300,30
155,0,001300,28
156,0,001100,28
157,0,001400,30
158,0,001700,28
159,0,001300,30
160,0,001200,28
161,0,001200,28
162,0,001300,30
163,0,001400,30
164,0,014200,28
165,0,000600,28
166,0,000600,30
167,0,000500,28
168,0,000600,28
169,0,000500,30
170,0,000600,28
171,0,000600,30
172,0,000600,28
173,0,000600,30
174,0,000700,28
175,0,000700,30
176,0,001200,28
177,0,000600,28
178,0,000500,28
179,0,000600,30
180,0,000600,28
181,0,000600,30
182,0,000500,28
183,0,000500,30
184,0,000500,30
185,0,000600,28
186,0,000600,30
187,0,000500,30
188,0,000500,28
189,0,000400,28
190,0,000500,28
191,0,001000,28
192,0,000700,30
193,0,000700,30
194,0,000800,28
195,0,000500,30
196,0,000500,28
197,0,000500,30
198,0,000600,30
199,0,000500,28
200,0,000600,28
201,0,000500,30
202,0,000400,30
203,0,000500,30
204,0,000400,28
205,0,000500,30
206,0,000500,30
207,0,000500,30
208,0,000600,30
209,0,000600,30
210,0,000500,28
211,0,000600,28
212,0,000600,28
213,0,000600,28
214,0,000500,28
215,0,000500,30
216,0,000500,30
217,0,000600,30
218,0,000500,30
219,0,000500,28
220,0,000500,28
221,0,000500,30
222,0,000500,30
223,0,000500,28
224,0,000500,28
225,0,000400,28
226,0,003300,28
227,0,000500,28
228,0,000600,30
229,0,000600,30
230,0,000400,28
231,0,000600,28
232,0,000500,30
233,0,000500,30
234,0,000600,30
235,0,000500,28
236,0,000600,30
237,0,000500,28
238,0,000500,28
239,0,000500,28
240,0,000500,28
241,0,000500,30
242,0,000600,30
243,0,000500,30
244,0,000500,28
245,0,000700,30
246,0,001200,30
247,0,000500,28
248,0,000500,30
249,0,000400,28
250,0,000600,30
251,0,000700,30
252,0,000500,28
253,0,000500,28
254,0,000500,28
255,0,001900,28
256,0,000600,28
257,0,000600,28
258,0,000600,28
259,0,000600,28
260,0,000500,28
261,0,000500,28
262,0,000900,28
263,0,000600,28
264,0,000700,30
265,0,000500,30
266,0,000500,30
267,0,000600,28
268,0,000600,30
269,0,000500,30
270,0,000600,30
271,0,000600,30
272,0,000500,28
273,0,000600,28
274,0,000500,28
275,0,000500,30
276,0,000500,28
277,0,000500,28
278,0,000600,30
279,0,000600,30
280,0,000700,30
281,0,000500,30
282,0,000500,30
283,0,000600,28
284,0,000600,30
285,0,000500,28
286,0,000500,28
287,0,000500,30
288,0,000700,30
289,0,000600,30
290,0,000600,30
291,0,000400,28
292,0,000600,28
293,0,000500,30
294,0,000500,30
295,0,000500,30
296,0,000600,30
297,0,000600,30
298,0,000500,30
299,0,000600,28
300,0,000600,30
301,0,000600,28
302,0,000500,28
303,0,000500,28
304,0,000500,28
305,0,000800,30
306,0,000500,28
307,0,000600,28
308,0,000500,30
309,0,000500,28
310,0,000600,28
311,0,000500,30
312,0,000500,28
313,0,000600,28
314,0,000600,28
315,0,000500,30
316,0,000500,30
317,0,000900,28
318,0,000600,30
319,0,000600,30
320,0,000500,28
321,0,000600,28
322,0,000600,30
323,0,000500,28
324,0,000500,28
325,0,000400,28
326,0,000500,28
327,0,000500,30
328,0,000600,28
329,0,000500,28
330,0,000600,30
331,0,000600,28
332,0,000600,28
333,0,001000,28
334,0,000500,30
335,0,000600,30
336,0,000600,28
337,0,000600,28
338,0,000600,30
339,0,000400,28
340,0,000500,28
341,0,000800,28
342,0,000800,28
343,0,000700,30
344,0,000900,30
345,0,000700,28
346,0,000700,30
347,0,000800,30
348,0,000600,28
349,0,000600,28
350,0,000700,28
351,0,000800,30
352,0,000700,30
353,0,000700,30
354,0,000500,28
355,0,000700,30
356,0,000600,30
357,0,000700,28
358,0,000800,30
359,0,000700,28
